,0,1,2,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,Tax-Supported Debt Service Outstanding as of 8/31/03 ,2002 M&O Tax Rate ,2002 I&S Tax Rate ,2002 TOTAL Tax Rate ,2002 Tax Year Assessed Valuation (AV) ,Population ,Debt Ratio Tax Debt to Assessed Valuation (AV) ,Debt Ratio Tax Debt Service to AV ,Debt Ratio Tax Debt Per Capita 
210,198-000-00,Robertson County,ROBERTSON,510000,44830,554830,0.52053,0.02367,0.5442,955457630,15832,0.0005337756316834269,0.0005806955563272858,32.213239009600805
211,199-000-00,Rockwall County,ROCKWALL,13670000,4129097.5,17799097.5,0.2981,0.0553,0.3534,3597115912,54630,0.0038002667510370737,0.004948157895224367,250.22881200805418
212,200-000-00,Runnels County,RUNNELS,1995000,839825,2834825,0.75603,0.06291,0.81894,336727390,10911,0.005924673962519058,0.00841875381744265,182.84300247456696
213,201-000-00,Rusk County,RUSK,,,,0.4118,0,0.4118,2532513050,47255,0,0,0
214,202-000-00,Sabine County,SABINE,,,,0.394445,0,0.394445,318661342,10379,0,0,0
215,203-000-00,San Augustine County,SAN AUGUSTINE,1740000,1325231.25,3065231.25,0.43032,0.10333,0.53365,218438894,8913,0.007965614401984657,0.01403244263816864,195.2204644900707
216,204-000-00,San Jacinto County,SAN JACINTO,1485000,394886.75,1879886.75,0.6307,0.0256,0.6563,719238940,23917,0.0020646824266772877,0.0026137165904838245,62.08972697244638
217,205-000-00,San Patricio County,SAN PATRICIO,3650000,391210,4041210,0.4911,0.0439,0.535,2499872705,68050,0.001460074344065451,0.001616566312323491,53.63703159441587
218,206-000-00,San Saba County,SAN SABA,,,,0.64,0,0.64,210371190,6053,0,0,0
219,207-000-00,Schleicher County,SCHLEICHER,335000,71527.5,406527.5,0.71,0,0.71,208752175,2816,0.0016047736987650548,0.0019474168352976442,118.96306818181819
220,208-000-00,Scurry County,SCURRY,4920000,2459830,7379830,0.505,0,0.505,800943737,16081,0.006142753570217379,0.00921391810571084,305.9511224426342
221,209-000-00,Shackelford County,SHACKELFORD,,,,0.5986,0,0.5986,175248870,3305,0,0,0
222,210-000-00,Shelby County,SHELBY,,,,0.5571,0,0.5571,677422381,25882,0,0,0
223,211-000-00,Sherman County,SHERMAN,,,,0.40874,0,0.40874,485909363,3158,0,0,0
224,212-000-00,Smith County,SMITH,18775000,5594425,24369425,0.218703,0.035767,0.25447,8101054805,184015,0.002317599430189264,0.0030081792540101204,102.0297258375676
225,213-000-00,Somervell County,SOMERVELL,,,,0.33,0,0.33,1772837832,7331,0,0,0
226,214-000-00,Starr County,STARR,307000,13090.75,320090.75,0.5398,0.0459,0.5857,1364485730,57678,0.00022499319212374613,0.00023458709971265143,5.322653351364472
227,215-000-00,Stephens County,STEPHENS,,,,0.5177,0,0.5177,461381610,9449,0,0,0
228,216-000-00,Sterling County,STERLING,,,,0.64625,0,0.64625,262486390,1342,0,0,0
229,217-000-00,Stonewall County,STONEWALL,,,,0.6405,0,0.6405,118304955,1448,0,0,0
230,218-000-00,Sutton County,SUTTON,,,,0.349529,0,0.349529,582989791,4110,0,0,0
231,219-000-00,Swisher County,SWISHER,,,,0.63,0,0.63,258737425,8015,0,0,0
232,220-000-00,Tarrant County,Tarrant,141200000,36390300,177590300,0.237419,0.035081,0.2725,79715520224,1559148,0.0017712987333361068,0.0022278008034191162,90.56228145115152
233,221-000-00,Taylor County,Taylor,15345000,3705167.5,19050167.5,0.4671,0.0576,0.5247,3965674408,125339,0.0038694553362838757,0.0048037648934491145,122.4279753309026
234,222-000-00,Terrell County,Terrell,,,,0.466,0,0.466,322626139,1034,0,0,0
235,223-000-00,Terry County,Terry,3825000,1489050,5314050,0.648,0.072,0.72,549045782,12453,0.006966632156004797,0.009678701074148312,307.15490243314866
236,224-000-00,Throckmorton County,Throckmorton,,,,0.96995,0,0.96995,118247410,1697,0,0,0
